upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,synced_pushed_at,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
IrishMarineInstitute/kplex,IrishMarineInstitute.kplex,core,Marine Institute,high,master,false,416,https://github.com/IrishMarineInstitute/kplex.git,https://github.com/IrishMarineInstitute/kplex,2026-08-11,2026-09-04,2026-08-26,2020-06-23T08:58:24Z,2020-06-23T08:58:24Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/marine-data-linter,IrishMarineInstitute.marine-data-linter,core,Marine Institute,high,master,false,0,https://github.com/IrishMarineInstitute/marine-data-linter.git,https://github.com/IrishMarineInstitute/marine-data-linter,2026-08-11,2026-09-04,2026-08-26,2022-05-21T21:29:34Z,2022-05-21T21:29:34Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/Marine-Heat-Waves,IrishMarineInstitute.Marine-Heat-Waves,core,Marine Institute,high,main,false,1103,https://github.com/IrishMarineInstitute/Marine-Heat-Waves.git,https://github.com/IrishMarineInstitute/Marine-Heat-Waves,2026-08-11,2026-09-04,2026-08-26,2025-01-13T16:55:35Z,2025-01-13T16:55:35Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/metadata-profile-for-marine-plans,IrishMarineInstitute.metadata-profile-for-marine-plans,core,Marine Institute,high,main,false,826,https://github.com/IrishMarineInstitute/metadata-profile-for-marine-plans.git,https://github.com/IrishMarineInstitute/metadata-profile-for-marine-plans,2026-08-11,2026-09-04,2026-08-26,2023-09-29T13:42:14Z,2023-09-29T13:42:14Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/mi-ctd-data-processing,IrishMarineInstitute.mi-ctd-data-processing,core,Marine Institute,high,main,false,43014,https://github.com/IrishMarineInstitute/mi-ctd-data-processing.git,https://github.com/IrishMarineInstitute/mi-ctd-data-processing,2026-08-11,2026-09-04,2026-08-27,2024-08-16T09:58:38Z,2024-08-16T09:58:38Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/model-v,IrishMarineInstitute.model-v,core,Marine Institute,high,master,false,10298,https://github.com/IrishMarineInstitute/model-v.git,https://github.com/IrishMarineInstitute/model-v,2026-08-11,2026-09-04,2026-08-27,2020-12-11T11:11:43Z,2020-12-11T11:11:43Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/mydas2,IrishMarineInstitute.mydas2,core,Marine Institute,high,main,false,0,https://github.com/IrishMarineInstitute/mydas2.git,https://github.com/IrishMarineInstitute/mydas2,2026-08-11,2026-09-04,2026-08-26,2022-05-23T09:56:04Z,2022-05-23T09:56:04Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/national-oceanographic-data-centre,IrishMarineInstitute.national-oceanographic-data-centre,core,Marine Institute,high,master,false,5224,https://github.com/IrishMarineInstitute/national-oceanographic-data-centre.git,https://github.com/IrishMarineInstitute/national-oceanographic-data-centre,2026-08-11,2026-09-04,2026-08-26,2026-05-12T09:04:53Z,2026-05-12T09:04:53Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/ncgraphql.js,IrishMarineInstitute.ncgraphql.js,core,Marine Institute,high,master,false,4035,https://github.com/IrishMarineInstitute/ncgraphql.js.git,https://github.com/IrishMarineInstitute/ncgraphql.js,2026-08-11,2026-09-04,2026-08-26,2022-06-28T18:07:14Z,2022-06-28T18:07:14Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/near-ido,IrishMarineInstitute.near-ido,core,Marine Institute,high,master,false,16,https://github.com/IrishMarineInstitute/near-ido.git,https://github.com/IrishMarineInstitute/near-ido,2026-08-11,2026-09-04,2026-08-26,2019-01-18T16:00:27Z,2019-01-18T16:00:27Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
